fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_root_mean_squared_error,test_neg_median_absolute_error,test_r2,Target,Model,Dataset
0.6931216716766357,0.015827655792236328,0.5326248447710897,-1.0185521663661083,-0.0034091054464155347,-0.0007918136657442475,-0.028139183814464973,-0.0012547726647204422,0.5326210814006653,Class,LinearRegression(),creditcard
0.8908133506774902,0.014183282852172852,0.5235102992385214,-1.0612724439535917,-0.0034929119507561466,-0.0007405530928204386,-0.02721310516682061,-0.0013937297623645777,0.5235058268824191,Class,LinearRegression(),creditcard
0.9081284999847412,0.010245323181152344,0.5074146936194844,-1.0516031655963172,-0.003335289981572327,-0.0007885506922274614,-0.028081144781284494,-0.001229299076223218,0.5074135639597954,Class,LinearRegression(),creditcard
4.063613176345825,0.013198375701904297,0.3882043679004935,-1.0,-0.0010650375103870417,-0.0010650375103870417,-0.032634912446443634,-0.0,0.38819484694313533,Class,LogisticRegression(),creditcard
4.433709621429443,0.007601499557495117,0.492703219566634,-1.0,-0.0009245930035228164,-0.0009245930035228164,-0.030407120934459027,-0.0,0.4926634593963731,Class,LogisticRegression(),creditcard
4.591972351074219,0.009693384170532227,0.4266153212932319,-1.0,-0.0010182226747656332,-0.0010182226747656332,-0.031909601607754884,-0.0,0.4266115416632469,Class,LogisticRegression(),creditcard
74.50676560401917,0.011912107467651367,0.5300750469119963,-1.1670735315529641,-0.002226391658571507,-0.0007580098824229508,-0.027531979268170147,-0.0007129580605756023,0.5299172973165762,Class,LinearSVR(),creditcard
76.64166307449341,0.010683298110961914,0.43751973124054144,-1.498827357907195,-0.0038206363246552823,-0.0010088325470954012,-0.03176212441093009,-0.0020305993200714,0.4356058327517296,Class,LinearSVR(),creditcard
67.56939482688904,0.014858722686767578,0.48955617829110565,-1.025547346542521,-0.00638759072060517,-0.0008003601149099356,-0.028290636523590904,-0.004743724354867997,0.473158656463183,Class,LinearSVR(),creditcard
49.85209536552429,0.00962376594543457,-6.853693468139604e+36,-4.269451638997479e+17,-2.343097294977943e+17,-6.866989241803524e+34,-2.62049408352767e+17,-2.0902182608727488e+17,-3.4181375952130203e+37,Class,SGDRegressor(),creditcard
51.82496190071106,0.009290695190429688,-2.228962579050962e+37,-7.386775034200247e+17,-4.009289592170444e+17,-2.0110572836844975e+35,-4.484481334206329e+17,-3.5776826560390995e+17,-1.1106003088310754e+38,Class,SGDRegressor(),creditcard
52.33950662612915,0.008130073547363281,-7.428836560150844e+35,-1.2909352864819046e+17,-7.0671321444117064e+16,-6.252783196092031e+33,-7.90745420226512e+16,-6.3209126925115416e+16,-3.690791375365722e+36,Class,SGDRegressor(),creditcard
2.604517698287964,2.4374325275421143,0.026067584762668572,-1.0,-0.002471823320810365,-0.0018669756445817685,-0.04320851356598337,-0.0,0.025446507146270614,Class,KNeighborsRegressor(),creditcard
1.8917324542999268,1.8895418643951416,0.06598832123635434,-1.0,-0.002265838044076168,-0.0017471296653909624,-0.04179868018718967,-0.0,0.06524959253309559,Class,KNeighborsRegressor(),creditcard
2.81693434715271,2.362182855606079,0.05148368508841261,-1.0,-0.00238755661669183,-0.0018295237760846412,-0.042772932750568336,-0.0,0.050772996978864615,Class,KNeighborsRegressor(),creditcard
15.12856125831604,0.013451099395751953,0.47701604612808257,-1.0,-0.0009714078391442248,-0.0009714078391442248,-0.031167416305241356,-0.0,0.4770142024914755,Class,DecisionTreeRegressor(),creditcard
18.904102087020874,0.013469457626342773,0.5531695503165268,-1.0,-0.0006788151165104221,-0.0006788151165104221,-0.026054080611497735,-0.0,0.5531663043507664,Class,DecisionTreeRegressor(),creditcard
13.924717664718628,0.013452291488647461,0.4404297792485734,-1.0,-0.0009480004213335205,-0.0009480004213335205,-0.030789615478818838,-0.0,0.44042969839613,Class,DecisionTreeRegressor(),creditcard
373.8723077774048,0.0816962718963623,0.6869544249636296,-1.1510664967137147,-0.0010168042674301046,-0.0005157433292567327,-0.02270998303074515,-0.00017518564742763904,0.6869539199051946,Class,GradientBoostingRegressor(),creditcard
361.2800233364105,0.09296464920043945,0.7509960167654615,-1.0054677233271323,-0.0009622820264419148,-0.00042766067778997183,-0.02067995836045063,-0.00017079142122446684,0.7509960152642304,Class,GradientBoostingRegressor(),creditcard
336.50023889541626,0.09454607963562012,0.7112718707630659,-0.9998177971394999,-0.0009753641934346422,-0.00045884536867145495,-0.02142067619547653,-0.00018220286050011722,0.7112674463899362,Class,GradientBoostingRegressor(),creditcard
12.998987197875977,0.26540374755859375,-88.61102290403285,-26.086856228406614,-0.25780885917450824,-0.1688332183836458,-0.4108931958351778,-0.19503832593849524,-90.4705173827879,Class,MLPRegressor(),creditcard
13.520920276641846,0.08097147941589355,-339.3845357360169,-148.27362623136543,-0.34136139859349346,-0.6009987530414455,-0.7752410934937889,-0.2508377068467579,-339.67581411952654,Class,MLPRegressor(),creditcard
11.154155969619751,0.08379697799682617,-30323.85911226162,-48.95087546565087,-14.827244026310277,-275.54617044100644,-16.599583441791737,-13.28528696870326,-149284.49615047887,Class,MLPRegressor(),creditcard
